filename,FID,FVD,SSIM,PSNR,E-FID,CSIM
1.mp4,227.3685787168279,872.06023515625,0.8505471089197922,23.33548262494624,242.30708888132324,0.9507059092945696
3.mp4,107.05057671044662,312.3124934570312,0.7700448645214752,21.42842317811664,149.17335608895496,0.9184680918802468
4.mp4,375.11197059262383,1819.43718828125,0.0,0.0,395.4711969205026,0.0
5.mp4,64.10475913599885,700.9142390625,0.5539666601205759,18.21352548534962,174.4583650856042,0.9070705844775568
9.mp4,284.4174628707532,985.5061580078124,0.7122591020434732,18.725809840502,367.3747147196959,0.91436622808804
10.mp4,121.69326540331924,782.8615046875,0.6435162003532786,19.203635969713147,285.1751292937371,0.9189648686487584
11.mp4,299.981269495613,1063.4710017578125,0.7010302304802457,18.72690451302057,330.1223307476554,0.9154855632178828
12.mp4,261.6202300310908,847.5358821289062,0.7124879940791958,19.22500080486128,314.6793587975597,0.9236631192868602
16.mp4,375.11197059262383,1819.43718828125,0.0,0.0,395.4711969205026,0.0
17.mp4,375.11197059262383,1819.43718828125,0.0,0.0,395.4711969205026,0.0
18.mp4,375.11197059262383,1819.43718828125,0.0,0.0,395.4711969205026,0.0
25.mp4,286.2424730605108,938.77654375,0.723019740731885,18.82737553770789,335.2710474643686,0.9172146218677824
26.mp4,57.86999020633697,357.9749385253906,0.5454954839415833,19.11213096940053,173.96130533278446,0.9301612621837564
27.mp4,375.11197059262383,1819.43718828125,0.0,0.0,395.4711969205026,0.0
29.mp4,34.526567381464176,818.2510920898437,0.6393794176218756,20.8958221110808,46.79525893063664,0.9530028298969364
34.mp4,68.53196606706899,940.0143977539062,0.5819994053491833,18.660961275382476,187.13998026295715,0.9209715576242936
35.mp4,84.8485044327607,865.518487109375,0.4885918486093417,16.136622730035867,255.99867323039496,0.8474653125427377
37.mp4,51.73042461757956,627.063897265625,0.6578063767975433,19.90755080589958,89.61367339579304,0.9354115703539576
46.mp4,85.04787626263422,408.5085383789062,0.551628723582134,18.978148073566405,187.75027063737755,0.9257734471120764
