video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
video1,0.8051941424608231,0.9159912109375,0.7951751764705882,0.0,0.38837921619415283,49.00535753038194
video10,0.7727942761033774,0.88927001953125,0.7246264575163398,0.0,0.3592953085899353,50.6151907650041
video100,0.0,0.0,0.0,0.0,0.0,0.0
video101,0.0,0.0,0.0,0.0,0.0,0.0
video102,0.0,0.0,0.0,0.0,0.0,0.0
video103,0.8350895687937736,0.931524658203125,0.7260226978939724,1.0,0.31964758038520813,55.01640899093063
video104,0.6864441915138347,0.8696388038429054,0.710301021021021,0.0,0.2878338098526001,47.17294479370117
video105,0.8730502126738429,0.9138275146484375,0.9681498113134143,1.0,0.4586169421672821,53.68380605438609
video106,0.7146737740024344,0.8875019023944806,0.7773326315789474,0.0,0.32656949758529663,47.65213509095021
video107,0.7703836053609848,0.9018707275390625,0.5803297124183007,0.0,0.3301043212413788,49.16194435402199
video108,0.7200958251188962,0.8848250951522436,0.7670816155522038,0.0,0.3871764838695526,49.13003569011447
video109,0.8015812791883945,0.8885833740234375,0.661245294117647,0.0,0.33522868156433105,50.10244741557557
video11,0.0,0.0,0.0,0.0,0.0,0.0
video110,0.8369240254163742,0.9121124267578125,0.9238723398692811,0.0,0.3781178891658783,32.25574797171134
video111,0.8334727706387639,0.9279052734375,0.4920495294117647,0.0,0.35079580545425415,50.508572425371334
video112,0.8908708494156599,0.931658935546875,0.9128607753487868,1.0,0.3689900040626526,45.833365428594895
video113,0.8286820244044065,0.87862548828125,0.5775502483660131,0.0,0.37637022137641907,52.61383894932123
video114,0.8534346032887697,0.938958740234375,0.9077627771193948,0.0,0.2982640564441681,47.107169634030186
video115,0.9318658486008644,0.91968994140625,0.8106373220889233,1.0,0.3789779841899872,48.16198151199906
video116,0.8575818981975317,0.9301513671875,0.6802851307189542,1.0,0.2919599413871765,52.22762501092605
video117,0.0,0.0,0.0,0.0,0.0,0.0
video118,0.0,0.0,0.0,0.0,0.0,0.0
video119,0.7327493517836438,0.8761434434335443,0.6986039886039886,0.0,0.2580888271331787,52.25152349472046
video12,0.6658019666160856,0.8672119140625,0.5275898412698413,0.0,0.3338591158390045,51.03078766943703
video120,0.7544373515993357,0.8837432861328125,0.7188779607843137,0.0,0.24187427759170532,52.51337743688513
video121,0.0,0.0,0.0,0.0,0.0,0.0
video122,0.9084262233227491,0.9379791259765625,0.974425477822027,1.0,0.31772586703300476,57.936091976401244
video123,0.0,0.0,0.7223852989018431,1.0,0.0,0.0
video124,0.7900116631761194,0.909613037109375,0.7276627320261438,0.0,0.2752612829208374,52.0497669643826
video125,0.6353972787037492,0.8543060302734375,0.6494728104575164,0.0,0.2391367256641388,48.72256554497613
video126,0.8493013061583042,0.8981903076171875,0.7220106535947712,0.0,0.32003095746040344,52.25157156108338
video127,0.7992608495056629,0.8865753173828125,0.7558419477124183,0.0,0.25729814171791077,51.83504170547297
video128,0.0,0.0,0.0,0.0,0.0,0.0
video129,0.0,0.0,0.0,0.0,0.0,0.0
video13,0.8160722704604269,0.9022705078125,0.9669142101284959,1.0,0.3513145446777344,44.16889784071181
video130,0.0,0.0,0.0,0.0,0.0,0.0
video131,0.7591125873848796,0.891009521484375,0.7513646274509804,0.0,0.28095048666000366,46.86480505672502
video132,0.8336903218179941,0.906158447265625,0.7556001544453398,1.0,0.33191677927970886,54.76544180034119
video133,0.6982360653579235,0.875250244140625,0.6114636862745098,0.0,0.3568798899650574,52.49761981728636
video134,0.7653905918821693,0.86583251953125,0.7007416078431372,0.0,0.35975417494773865,47.68591577035409
video135,0.6039870700126961,0.8248028332674051,0.6523583710407239,0.0,0.31344619393348694,46.002856206893924
video136,0.529975896462416,0.8423790564903846,0.7448805362828892,0.0,0.3870584964752197,45.86122297938866
video137,0.8981517739593983,0.9388031005859375,0.7752491241830065,0.0,0.3895584046840668,49.8389948150258
video138,0.8390425458550453,0.93819580078125,0.7818414117647059,0.0,0.3725910484790802,49.32183216236256
video139,0.8271921213716269,0.9128753662109375,0.7858055294117647,0.0,0.3753241002559662,50.61688223002869
video14,0.7846221063286066,0.84306640625,0.512784888888889,0.0,0.31672295928001404,50.55135307782962
video140,0.8095219124108552,0.9307098388671875,0.7945748104575163,0.0,0.35573455691337585,49.085902979344496
video141,0.6961525252088905,0.8858245849609375,0.7707918039215687,0.0,0.35502389073371887,48.33451004970221
video142,0.6566697074330017,0.8512079944349316,0.7727279593318809,0.0,0.3313019871711731,45.68746992059656
video143,0.8076719226315617,0.916204833984375,0.7106004215411654,1.0,0.3170340359210968,56.8257394955482
video144,0.6629583708157665,0.8704320004111842,0.6432527966976264,0.0,0.32858073711395264,47.8193203814618
video145,0.7137542299523547,0.8840925886824325,0.8444494612259318,0.0,0.34128543734550476,46.14962053934733
video146,0.6141385633450049,0.8582177100243507,0.8247154729962161,0.0,0.35106953978538513,46.272912661234535
video147,0.854105606302619,0.9185882568359375,0.7865151764705883,0.0,0.3907244801521301,49.45836229677553
video148,0.8114399744197727,0.9351348876953125,0.8132808496732026,0.0,0.39939093589782715,51.543544298336826
video149,0.8148084696382284,0.9100341796875,0.7974354640522876,0.0,0.38943344354629517,50.82334301795488
video15,0.708207668736577,0.8991424560546875,0.6454907581699346,0.0,0.29754817485809326,47.45072960559233
video150,0.8584129564464092,0.9299713134765625,0.7034046819387821,1.0,0.38354530930519104,54.45168921388226
video151,0.7424925519153476,0.8883758544921875,0.7650659477124183,0.0,0.35286691784858704,46.40559811062283
video152,0.8431526377797127,0.90906982421875,0.9224288758169934,0.0,0.3163165748119354,29.583430820041233
video153,0.8707239251583815,0.9042510986328125,0.9116815163398694,0.0,0.3434370756149292,29.78890703931267
video154,0.7916131362318992,0.90628662109375,0.9136154901960784,0.0,0.30714255571365356,33.065455707502956
video155,0.7763666233047843,0.9080902099609375,0.7432081437908497,0.0,0.2803190052509308,49.32320253348645
video156,0.8233181413311463,0.9166560978084416,0.7299138355693154,0.0,0.3840624988079071,49.06461704694308
video157,0.6959266700857395,0.875316722972973,0.8428853276806217,0.0,0.34548860788345337,42.87550277709961
video158,0.837881144322455,0.90447998046875,0.9116598169934641,0.0,0.33779293298721313,32.049144097316415
video159,0.8038262162357569,0.8869720458984375,0.9220530849673203,0.0,0.2861672639846802,29.979627208945193
video16,0.7638911543413996,0.9124481201171875,0.7357287712418301,0.0,0.39137154817581177,46.933120680444034
video160,0.8470758747309446,0.9354217529296875,0.9363636732026144,0.0,0.33103176951408386,26.85072872962481
video161,0.7924570620059967,0.9018341064453125,0.8755093202614379,0.0,0.3188437223434448,41.07700293741109
video162,0.7982411682605743,0.9049530029296875,0.7367205751633986,0.0,0.3367953300476074,50.81078263271002
video163,0.7656698582693935,0.8951873779296875,0.7689236993464051,0.0,0.38634276390075684,47.32312355512454
video164,0.7192010583428593,0.9049088118912337,0.7838169521843825,0.0,0.310425728559494,47.076287758656036
