video_id,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality
0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.0,0.0,0.0,0.0,0.0
10,0.7633977236056869,0.9407598322088068,0.79142624439583,0.0,0.17578859627246857,48.39889618519987
11,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0
23,0.0,0.0,0.0,0.0,0.0,0.0
24,0.0,0.0,0.0,0.0,0.0,0.0
25,0.0,0.0,0.0,0.0,0.0,0.0
26,0.731610321301095,0.7196122839095744,0.9115697114926049,1.0,0.38876986503601074,49.58343092600504
27,0.0,0.0,0.0,0.0,0.0,0.0
28,0.0,0.0,0.0,0.0,0.0,0.0
29,0.9104400669656149,0.9136903344131098,0.9594125765253672,1.0,0.4362308382987976,56.575569428593276
3,0.9600347694085569,0.972297512755102,0.8656200434233522,1.0,0.3475763499736786,41.04358100891113
30,0.0,0.0,0.0,0.0,0.0,0.0
31,0.0,0.0,0.0,0.0,0.0,0.0
32,0.0,0.0,0.0,0.0,0.0,0.0
33,0.0,0.0,0.0,0.0,0.0,0.0
34,0.6332238079048693,0.8341331481933594,0.0,0.0,0.19083261489868164,44.300078700138975
35,0.8243619667159187,0.9327218191964286,0.0,0.0,0.17629021406173706,51.296425342559814
36,0.0,0.0,0.0,0.0,0.0,0.0
37,0.0,0.0,0.0,0.0,0.0,0.0
38,0.0,0.0,0.0,0.0,0.0,0.0
39,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0
40,0.0,0.0,0.0,0.0,0.0,0.0
41,0.694686542608236,0.9388748972039473,0.5517452378667282,1.0,0.19649040699005127,36.32604139279096
42,0.0,0.0,0.0,0.0,0.0,0.0
43,0.0,0.0,0.0,0.0,0.0,0.0
44,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.0,0.0,0.0,0.0,0.0
46,0.7635628874413669,0.9260749816894531,0.7077935798701928,1.0,0.195839524269104,47.86513082064115
5,0.6160061163715569,0.9026526025978916,0.0,0.0,0.19618003070354462,38.56597221465338
6,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0
AVERAGE,0.14675157877282768,0.1719322853652696,0.10186313603349095,0.10638297872340426,0.0490212434149803,8.807555872755183
