video_name,subject_consistency,background_consistency,motion_smoothness,dynamic_degree,aesthetic_quality,imaging_quality,
video_001.mp4,0,0,0,0,0,0,
video_002.mp4,0,0,0,0,0,0,
video_003.mp4,0,0,0,0,0,0,
video_004.mp4,0,0,0,0,0,0,
video_005.mp4,0,0,0,0,0,0,
video_006.mp4,0,0,0,0,0,0,
video_007.mp4,0,0,0,0,0,0,
video_008.mp4,0,0,0,0,0,0,
video_009.mp4,0,0,0,0,0,0,
video_010.mp4,0,0,0,0,0,0,
video_011.mp4,0,0,0,0,0,0,
video_012.mp4,0,0,0,0,0,0,
video_013.mp4,0,0,0,0,0,0,
video_014.mp4,0,0,0,0,0,0,
video_015.mp4,0,0,0,0,0,0,
video_016.mp4,0,0,0,0,0,0,
video_017.mp4,0,0,0,0,0,0,
video_018.mp4,0,0,0,0,0,0,
video_019.mp4,0,0,0,0,0,0,
video_020.mp4,0,0,0,0,0,0,
video_021.mp4,0,0,0,0,0,0,
video_022.mp4,0,0,0,0,0,0,
video_023.mp4,0,0,0,0,0,0,
video_024.mp4,0,0,0,0,0,0,
video_025.mp4,0,0,0,0,0,0,
video_026.mp4,0,0,0,0,0,0,
video_027.mp4,0,0,0,0,0,0,
video_028.mp4,0,0,0,0,0,0,
video_029.mp4,0,0,0,0,0,0,
video_030.mp4,0,0,0,0,0,0,
video_031.mp4,0,0,0,0,0,0,
video_032.mp4,0,0,0,0,0,0,
video_033.mp4,0,0,0,0,0,0,
video_034.mp4,0,0,0,0,0,0,
video_035.mp4,0,0,0,0,0,0,
video_036.mp4,0,0,0,0,0,0,
video_037.mp4,0,0,0,0,0,0,
video_038.mp4,0,0,0,0,0,0,
video_039.mp4,0,0,0,0,0,0,
video_040.mp4,0,0,0,0,0,0,
video_041.mp4,0,0,0,0,0,0,
video_042.mp4,0,0,0,0,0,0,
video_043.mp4,0,0,0,0,0,0,
video_044.mp4,0,0,0,0,0,0,
video_045.mp4,0,0,0,0,0,0,
video_046.mp4,0,0,0,0,0,0,
video_047.mp4,0,0,0,0,0,0,
video_048.mp4,0,0,0,0,0,0,
video_049.mp4,0,0,0,0,0,0,
video_050.mp4,0,0,0,0,0,0,
video_051.mp4,0,0,0,0,0,0,
video_052.mp4,0.941456275,0.953522713,0.961151852,0,0.271410435,43.55817383,1
video_053.mp4,0.937585469,0.943088108,0.962790991,0,0.272962898,50.07151719,1
video_054.mp4,0,0,0,0,0,0,
video_055.mp4,0,0,0,0,0,0,
video_056.mp4,0,0,0,0,0,0,
video_057.mp4,0,0,0,0,0,0,
video_058.mp4,0,0,0,0,0,0,
video_059.mp4,0,0,0,0,0,0,
video_060.mp4,0,0,0,0,0,0,
video_061.mp4,0,0,0,0,0,0,
video_062.mp4,0,0,0,0,0,0,
video_063.mp4,0,0,0,0,0,0,
video_064.mp4,0,0,0,0,0,0,
video_065.mp4,0,0,0,0,0,0,
video_066.mp4,0,0,0,0,0,0,
video_067.mp4,0,0,0,0,0,0,
video_068.mp4,0,0,0,0,0,0,
video_069.mp4,0,0,0,0,0,0,
video_070.mp4,0,0,0,0,0,0,
video_071.mp4,0,0,0,0,0,0,
video_072.mp4,0,0,0,0,0,0,
video_073.mp4,0,0,0,0,0,0,
video_074.mp4,0,0,0,0,0,0,
video_075.mp4,0,0,0,0,0,0,
video_076.mp4,0,0,0,0,0,0,
video_077.mp4,0.945446338,0.960801162,0.960380526,0,0.305003762,49.31819632,1
video_078.mp4,0,0,0,0,0,0,
video_079.mp4,0,0,0,0,0,0,
video_080.mp4,0,0,0,0,0,0,
video_081.mp4,0.908803625,0.923686594,0.960541427,1,0.367310286,37.09750868,1
video_082.mp4,0,0,0,0,0,0,
video_083.mp4,0,0,0,0,0,0,
video_084.mp4,0,0,0,0,0,0,
video_085.mp4,0,0,0,0,0,0,
video_086.mp4,0,0,0,0,0,0,
video_087.mp4,0.937549975,0.940883092,0.962076673,0,0.274276316,43.68680814,1
video_088.mp4,0.944384961,0.946441075,0.961437105,0,0.320657939,39.89702747,1
video_089.mp4,0,0,0,0,0,0,
video_090.mp4,0,0,0,0,0,0,
video_091.mp4,0,0,0,0,0,0,
video_092.mp4,0,0,0,0,0,0,
video_093.mp4,0,0,0,0,0,0,
video_094.mp4,0.901238865,0.922360267,0.961787694,0,0.319408387,48.54714626,1
video_095.mp4,0,0,0,0,0,0,
video_096.mp4,0,0,0,0,0,0,
video_097.mp4,0,0,0,0,0,0,
video_098.mp4,0,0,0,0,0,0,
video_099.mp4,0,0,0,0,0,0,
video_100.mp4,0,0,0,0,0,0,
video_101.mp4,0,0,0,0,0,0,
video_102.mp4,0,0,0,0,0,0,
video_103.mp4,0.915932563,0.927045268,0.963306555,0,0.288511515,43.39341221,1
video_104.mp4,0,0,0,0,0,0,
video_105.mp4,0,0,0,0,0,0,
video_106.mp4,0,0,0,0,0,0,
video_107.mp4,0,0,0,0,0,0,
video_108.mp4,0,0,0,0,0,0,
video_109.mp4,0,0,0,0,0,0,
video_110.mp4,0,0,0,0,0,0,
average,0.067567255,0.068343893,0.069940662,0.009090909,0.021995832,3.232452637,
